,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,33.33,35.71,64.0,,45.45,48.57,44.17,47.1
1,37.5,54.78,57.14,100.0,58.33,60.83,62.88,60.33
2,14.29,57.72,61.54,100.0,66.67,68.2,48.78,65.12
3,55.56,68.14,46.67,,71.43,71.86,50.62,69.93
4,85.71,67.26,66.67,100.0,60.0,74.06,55.79,72.37
5,63.64,67.91,100.0,0.0,57.14,77.62,65.48,76.11
6,50.0,63.78,57.14,,100.0,77.04,59.26,75.02
7,70.0,75.68,71.43,,100.0,81.78,65.82,80.45
8,73.33,73.29,41.67,50.0,90.0,79.55,61.54,78.32
9,56.96,63.64,60.83,57.14,67.74,72.93,56.2,70.96
