COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
APPLING,60.14,0,25,22.57,0,33.33,40,0,33.33,50,0,39,23.08,0,30,43.48,0,67.03,66.66,0,57.17,42.86
BULLOCH,54.11,52.94,32.47,28.98,0,41.54,41.77,0,31.25,60,0,44.44,35.6,0,50.68,34.01,41.18,61.92,61.86,12.5,50.96,39.98
BURKE,56.95,50,30.53,19.42,0,47.62,57.58,0,11.11,58.33,0,48,32.76,0,44,52.63,14.29,62.5,65.16,33.33,61.31,49.35
CANDLER,59.45,33.33,28.17,27.14,0,23.08,27.27,0,0,33.33,0,32.53,23.4,0,41.67,40,50,66.1,68.7,0,58.61,50.20
COFFEE,53.65,54.55,22.42,22.14,0,18.18,31.67,0,18.75,37.5,0,34.1,24.63,0,35.38,34.92,30,60.12,60.63,0,51.99,38.29
COLUMBIA,57.91,42.11,41,37.68,100,47.99,48.41,0,44.68,39.76,0,45.67,40.79,83.33,46.47,44.48,32.56,60.86,61.64,27.78,65.23,56.36
EFFINGHAM,56.15,71.43,36.06,32.86,0,33.33,28.57,0,36.36,32,0,44.9,38.36,0,55.56,29.17,58.33,59.84,60.43,0,59.92,48.61
EMANUEL,59.01,33.33,24.75,24.77,0,34.62,29.41,0,40,0,0,34.04,20.93,0,42.11,56.25,75,68.34,69.33,0,54.38,42.64
EVANS,59.2,0,25.86,20.07,0,26.67,38.46,0,0,66.67,0,44.68,27.91,0,25,16.67,100,68.03,68.22,0,58.13,46.15
JEFF DAVIS,57.93,0,23.95,20.11,0,47.06,12.5,0,50,0,0,31.03,16.46,0,25,33.33,75,63.34,61.72,0,54.55,45.08
JENKINS,56.41,100,26.83,23.46,0,50,60,0,50,100,0,0,12.5,0,20,20,0,64.92,65.97,0,54.95,43.16
LAURENS,63.29,60,42.63,31.6,0,50,45.24,0,38.1,14.29,0,37.96,28.04,100,41.41,45.24,75,70.78,71.23,33.33,59.62,47.18
MONTGOMERY,64.67,0,33.58,21.6,0,27.27,50,0,0,100,0,31.91,38.89,0,25,0,50,71.06,69.69,100,63.8,51.62
RICHMOND,51.92,15.92,36.04,26.47,33.33,44.48,38.02,0,37.08,34.78,33.33,37.31,34.11,20,39.3,37.5,35.71,55.34,56.71,19.64,60.1,49.83
SCREVEN,59.64,0,25.65,21.81,0,63.64,69.23,0,50,0,0,43.75,36.36,0,41.18,41.67,66.67,68.63,69.04,0,60.59,44.62
TATTNALL,56.6,14.29,24.96,19.22,0,45.45,29.41,0,50,50,0,30.94,24.11,0,52.17,61.54,71.43,63.63,66.18,40,56.45,44.16
TOOMBS,56.61,20,21.5,18.71,0,36.92,34.62,0,0,0,100,27.54,20.51,0,41.18,34.38,37.5,66.96,66.38,100,52.82,39.50
TREUTLEN,61.37,100,42.17,26.32,0,20,50,0,0,100,0,22.22,22.22,0,25,25,66.67,65.79,64.92,0,64.9,45.37
TOTAL,56.01,20.78,34.6,28.22,37.5,44.12,42.03,0.0,37.15,38.2,27.78,39.55,33.43,42.11,43.76,41.41,41.7,62.13,62.85,20.58,59.09,48.17
