CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,100.0,8623.0,7559.0,2.000,1170.0,822.0,1.000,144.0,142.0,7.000,1984.0,1499.0,6.000,1083.0,792.0,111.0,86669.0,76498.0,23.00,42100.0,24429.0,253764.0
Congressional District 2,58.00,4159.0,3418.0,5.000,708.0,487.0,1.000,77.00,66.00,5.000,1062.0,739.0,3.000,626.0,464.0,43.00,57256.0,51102.0,84.00,72321.0,39861.0,232545.0
Congressional District 3,93.00,10884.0,9569.0,11.00,1487.0,1029.0,3.000,92.00,97.00,6.000,2409.0,1754.0,2.000,1275.0,880.0,148.0,107617.0,96552.0,53.00,40454.0,23932.0,298347.0
Congressional District 4,167.0,11119.0,8576.0,11.00,3044.0,1921.0,3.000,171.0,133.0,10.00,3511.0,2364.0,9.000,2996.0,2693.0,35.00,44998.0,38111.0,96.00,109724.0,65346.0,295038.0
Congressional District 5,224.0,15954.0,13138.0,17.00,2867.0,2017.0,0.00,148.0,114.0,14.00,3461.0,2720.0,14.00,2998.0,2565.0,132.0,53731.0,52234.0,98.00,95581.0,57265.0,305292.0
Congressional District 6,250.0,14633.0,13077.0,13.00,3371.0,2758.0,1.000,167.0,150.0,14.00,5650.0,4212.0,37.00,8237.0,7495.0,139.0,117070.0,105953.0,23.00,22600.0,14798.0,320648.0
Congressional District 7,549.0,17040.0,15010.0,33.00,3502.0,2598.0,1.000,208.0,197.0,72.00,10127.0,6868.0,77.00,9215.0,8956.0,215.0,78930.0,71278.0,165.0,35739.0,22758.0,283538.0
Congressional District 8,79.00,4459.0,4232.0,4.000,945.0,715.0,2.000,102.0,108.0,4.000,1524.0,1051.0,2.000,1011.0,716.0,74.00,91700.0,83185.0,40.00,43602.0,24319.0,257874.0
Congressional District 9,117.0,10189.0,10015.0,3.000,752.0,637.0,0.00,124.0,127.0,11.00,3588.0,2706.0,3.000,790.0,556.0,152.0,127508.0,116314.0,4.000,8605.0,5121.0,287322.0
Congressional District 10,143.0,10703.0,9579.0,6.000,1409.0,1101.0,0.00,126.0,119.0,12.00,2864.0,2117.0,8.000,1577.0,1142.0,173.0,111912.0,100689.0,54.00,40993.0,23871.0,308598.0
Congressional District 11,151.0,10015.0,9052.0,14.00,2457.0,1718.0,0.00,186.0,162.0,15.00,5677.0,3994.0,13.00,2613.0,2127.0,121.0,120224.0,108591.0,48.00,29966.0,18321.0,315465.0
Congressional District 12,128.0,7211.0,6311.0,6.000,1136.0,796.0,0.00,107.0,102.0,5.000,1713.0,1184.0,8.000,1235.0,918.0,93.00,82046.0,73129.0,92.00,49692.0,28625.0,254537.0
Congressional District 13,153.0,12253.0,8617.0,7.000,2895.0,1819.0,0.00,164.0,126.0,9.000,4775.0,3223.0,7.000,1714.0,1365.0,41.00,42468.0,37114.0,125.0,113585.0,67177.0,297637.0
Congressional District 14,57.00,7681.0,7251.0,7.000,660.0,534.0,0.00,99.00,89.00,9.000,3439.0,2593.0,1.000,549.0,368.0,89.00,100735.0,91171.0,14.00,12540.0,7638.0,235524.0
TOTAL,2269.0,144923.0,125404.0,139.0,26403.0,18952.0,12.00,1915.0,1732.0,193.0,51784.0,37024.0,190.0,35919.0,31037.0,1566.0,1222864.0,1101921.0,919.0,717502.0,423461.0,3946129.0
