,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,0.0,0.0,,0.0
1,31.97,44.99,0.0,39.28
2,47.06,61.24,16.67,55.15
3,48.04,56.78,0.0,52.73
4,49.57,62.18,25.0,56.79
5,52.42,64.05,0.0,58.59
6,36.07,53.26,0.0,45.46
7,27.42,44.35,16.67,35.66
8,39.36,52.84,0.0,46.96
9,30.44,45.04,16.67,38.88
10,41.61,57.96,20.0,51.09
11,39.78,55.27,16.67,48.76
12,54.23,60.1,50.0,57.49
13,49.42,58.1,42.86,54.29
14,69.29,70.68,66.67,70.03
15,64.03,67.61,50.0,66.04
16,66.95,69.04,66.67,68.12
17,59.32,63.09,40.0,61.38
18,59.43,68.63,0.0,64.63
19,54.35,59.82,,57.51
20,58.27,63.9,50.0,61.45
21,70.39,73.7,25.0,72.07
22,66.35,69.04,11.11,67.68
23,62.53,65.96,75.0,64.34
24,47.47,53.59,37.5,50.79
25,46.94,56.32,28.57,52.1
26,41.37,58.77,0.0,51.21
27,43.27,57.86,0.0,51.56
28,61.06,66.05,50.0,63.76
29,57.39,62.15,40.0,60.15
30,70.06,71.36,50.0,70.72
31,68.77,70.1,100.0,69.48
32,52.22,60.66,28.47,56.88
